time,servo_deg,door_deg,torque,speed,direction,calibrated,detecting
1783691032.507482,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.55737,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.6074889,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.6574104,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.7074392,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.7575898,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.807683,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.8575327,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.9074423,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.9578123,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.0076792,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.057435,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.1079078,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.1576283,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.207613,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.2575133,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.3075616,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.3576248,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.4079242,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.4574268,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.5076919,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.5575507,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.6075227,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.6575732,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.7074928,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.7575874,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.8078182,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.857546,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.9075334,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691033.9574692,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691034.0074995,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691034.0575876,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691034.1074426,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
